"","total_cup_points","species","owner","country_of_origin","farm_name","lot_number","mill","ico_number","company","altitude","region","producer","number_of_bags","bag_weight","in_country_partner","harvest_year","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","category_two_defects","expiration","certification_body","certification_address","certification_contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"849",81.83,"Arabica",NA,"Honduras","gran manzana y el aguacate",NA,"cigrah sps","13-111-311","cigrah","1350","comayagua","Tomás Sosa, Juan Damaso",275,"1 kg","Instituto Hondureño del Café","2014","May 16th, 2014",NA,"Caturra","Natural / Dry",7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,7.5,0.1,0,0,"Green",4,"May 16th, 2015","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1350,1350,1350
"850",81.83,"Arabica","kurt kappeli","Mexico","various",NA,"cafe gourmet de sierra azul sc","0016-2814-0002","globus coffee","1550 meters","siltepec el triunfo, chiapas, mexico","various small producers",280,"2 kg","Specialty Coffee Association","2014","April 26th, 2014","Kurt Kappeli","Typica","Washed / Wet",7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,7.5,0.11,0,0,"Green",0,"April 26th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1550,1550,1550
"851",81.83,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-2547","racafe & cia s.c.a","de 1.600 a 1950 msnm","huila","LA PLATA",50,"70 kg","Almacafé","2013","July 19th, 2013","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.5,7.5,7,7.42,7.5,7.58,10,10,10,7.33,0,2,0,"Bluish-Green",0,"July 19th, 2014","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1950,1775
"852",81.83,"Arabica","kona pacific farmers cooperative","United States (Hawaii)",NA,NA,NA,"KF315210","kona pacific farmers cooperative",NA,"kona",NA,19,"100 lbs","Specialty Coffee Association","2012","March 6th, 2013","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry",7.83,7.83,7.83,8,7.83,7.83,10,6.67,10,8,0,1,0,"Bluish-Green",1,"March 6th, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"853",81.83,"Arabica","jacques pereira carneiro","Brazil","sertao farm",NA,"armazens gerais cocarive","002/1352/0159","exportadora de cafés carmo de minas ltda","1250","sul de minas","NAZARETH DIAS PEREIRA",300,"60 kg","Specialty Coffee Association","2012","March 2nd, 2013","Jacques Pereira Carneiro","Bourbon","Semi-washed / Semi-pulped",7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,0.12,0,0,"Bluish-Green",0,"March 2nd, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1250,1250,1250
"854",81.83,"Arabica","juan luis alvarado romero","Guatemala","el sacramento",NA,"beneficio ixchel","11/23/0397","unex guatemala, s.a.","4300","oriente","LUIS RODRIGUEZ",250,"69 kg","Asociacion Nacional Del Café","2013","February 26th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,7.5,0.11,0,0,"Green",1,"February 26th, 2014","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"855",81.83,"Arabica","christina dusing","Mexico","finca muxbal",NA,"ecc beneficio veracruz","1506543018",NA,"1500","veracruz","MARIA MAGDALENA LUETHJE Y GRIS",302,"1 kg","AMECAFE","2012","August 31st, 2012","CHRISTINA DUSING","Bourbon","Washed / Wet",7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,0.12,0,0,"Green",2,"August 31st, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1500,1500,1500
"856",81.83,"Arabica","jorge francisco martinez hachity","Mexico","el deseo",NA,"beneficio el grande","1104363377",NA,"1250","coatepec","JORGE FRANCISCO MARTINEZ HACHITY",15,"1 kg","AMECAFE","2012","July 11th, 2012","JORGE FRANCISCO MARTINEZ HACHITY","Typica","Semi-washed / Semi-pulped",7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,0.12,0,0,"Green",10,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1250,1250,1250
"857",81.83,"Arabica","nucoffee","Brazil","cianorte",NA,NA,"002/1251/0361",NA,"900-950m","cerrado","Marilsa de Fatima Peternela",58,"60 kg","NUCOFFEE","2011","October 28th, 2011","NUCOFFEE","Mundo Novo",NA,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,0.02,0,0,NA,2,"October 27th, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",900,950,925
"858",81.83,"Arabica","exportadora de cafe condor s.a","Colombia",NA,NA,"triladora bonanza-armenia","3-68-0206",NA,"1600-1800 msnm","huila",NA,250,"70 kg","Almacafé","1t/2011","June 14th, 2011","Exportadora de Cafe Condor S.A",NA,NA,7.58,7.5,7.17,7.58,7.33,7.33,10,10,10,7.33,0.05,0,0,NA,0,"June 13th, 2012","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1800,1700
"859",81.83,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative",NA,"kona pacific farmers cooperative","HDOA 210281",NA,NA,"kona",NA,30,"0 lbs","Specialty Coffee Association",NA,"May 24th, 2010","Kona Pacific Farmers Cooperative",NA,NA,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10,7.33,0.02,3,0,NA,12,"May 24th, 2011","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"860",81.75,"Arabica","juan luis alvarado romero","Guatemala","las merceditas","11/23/0514","beneficio ixchel","11/23/0514","unex guatemala, s.a.","1700","san marcos","ANGEL DE LEON",50,"69 kg","Asociacion Nacional Del Café","2017","June 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,0.11,0,1,"Green",1,"June 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",1700,1700,1700
"861",81.75,"Arabica","sunvirtue co., ltd.","Vietnam","apollo estate",NA,"apollo estate",NA,"sunvirtue co., ltd.","1040","vietnam","Richard Yeh",1,"2 kg","Specialty Coffee Association","2014","December 21st, 2015","Sunvirtue Co., Ltd.","Caturra","Washed / Wet",7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,0.12,0,0,"Bluish-Green",0,"December 20th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1040,1040,1040
"862",81.75,"Arabica","ngorogoro convenant estate","Tanzania, United Republic Of","ngorogoro convenant estate",NA,"ngorogoro convenant estate","C15","ngorogoro convenant estate","1500 - 1700","ngorogoro","Ngorogoro Convenant Estate",1,"60 kg","Africa Fine Coffee Association","2014","January 8th, 2015","Ngorogoro Convenant Estate","Other","Washed / Wet",7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,0.12,0,0,"Bluish-Green",4,"January 8th, 2016","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1500,1700,1600
"863",81.75,"Arabica","cafe politico","Brazil",NA,NA,NA,"2-1495-529","cafe politico",NA,NA,NA,1,"5 lbs","Specialty Coffee Association","2013","August 25th, 2014","Cafe Politico",NA,"Natural / Dry",7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,7.25,0.1,0,0,"Bluish-Green",1,"August 25th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"864",81.75,"Arabica","saul m. hernandez ramirez","Mexico","los magueyes",NA,"en santa maria temaxcalapa","1702772155",NA,"774","tenango de doria, hidalgo","PEREZ LEMUS, FELIX",10,"1 kg","AMECAFE","2012","September 27th, 2012","SAUL M. HERNANDEZ RAMIREZ","Bourbon","Washed / Wet",7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,0.13,2,0,"None",9,"September 27th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",774,774,774
"865",81.75,"Arabica","sergio landa alarcon","Mexico","finca tepictla",NA,"tepictla y xalapa veracruz","1104372561",NA,"1250","tepictla","SERGIO LANDA ALARCON",100,"1 kg","AMECAFE","2012","September 10th, 2012","SERGIO LANDA ALARCON","Mundo Novo","Washed / Wet",7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,0.13,0,0,"Green",23,"September 10th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1250,1250,1250
"866",81.75,"Arabica","diego manuel woolrich ramirez","Mexico","arroyo triste, arroyo triste, san jose vista hermosa",NA,"arroyo triste, arroyo triste, san jose vista hermosa","2037240, 2037150,1400213685",NA,"1100","oaxaca","CENEN TORRES CORTES, AVELINO TORES CORTES, JUAN VENTURA GUZMAN",42,"1 kg","AMECAFE","2012","September 4th, 2012","DIEGO MANUEL WOOLRICH RAMIREZ","Typica","Washed / Wet",7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,0.11,0,0,"Green",1,"September 4th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1100,1100,1100
"867",81.75,"Arabica","armando luis pohlenz martinez","Mexico",NA,NA,"finca custepec","2676","beneficio custepec s.a. de c.v.","1550","la concordia","ARMANDO LUIS POHLENZ MARTINEZ",250,"1 kg","AMECAFE","2012","August 30th, 2012","ARMANDO LUIS POHLENZ MARTINEZ","Caturra","Washed / Wet",7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,0.12,10,0,"Green",14,"August 30th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1550,1550,1550
"868",81.75,"Arabica","enrique eduardo lopez aguilar","Mexico","santa cruz - pante doña graciela",NA,NA,"PCO-031106-CF7","finca las nubes","1650","la concordia","GRACIELA AGUILAR PERALTA",28,"1 kg","AMECAFE","2012","June 6th, 2012","Enrique Eduardo Lopez Aguilar","Typica","Washed / Wet",7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,0.12,0,0,NA,1,"June 6th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1650,1650,1650
"869",81.75,"Arabica","exportadora de cafe condor s.a","Colombia",NA,NA,"trilladora bonanza - armenia quindioa","3-68-0059","exportadora de cafe condor s.a","1750 msnm","huila",NA,250,"70 kg","Almacafé","2011","December 22nd, 2011","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet",7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,0,0,0,"Green",1,"December 21st, 2012","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1750,1750,1750
"870",81.75,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-2930",NA,"de 1600 a 1950 msnm","huila","La Plata",275,"70 kg","Almacafé","Mayo a Julio","October 4th, 2011","Racafe & Cia S.C.A",NA,NA,7.42,7.58,6.92,7.08,7.25,8,10,10,10,7.5,0.08,0,0,NA,0,"October 3rd, 2012","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1950,1775
"871",81.67,"Arabica","ipanema coffees","Brazil","fazenda capoeirnha","019/17","dry mill","002/1660/0079","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,0.11,0,0,"Green",5,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"872",81.67,"Arabica","juan luis alvarado romero","Guatemala","las merceditas","11/23/0640","beneficio ixchel","11/23/0640","unex guatemala, s.a.","1700","san marcos","ANGEL DE LEON",50,"69 kg","Asociacion Nacional Del Café","2017","August 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,0.1,0,0,"Green",1,"August 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",1700,1700,1700
"873",81.67,"Arabica","juan luis alvarado romero","Guatemala","la esmeralda","11/23/0701","beneficio ixchel","11/23/0701","unex guatemala, s.a.","4000","santa rosa","JESUS RAMIREZ",80,"69 kg","Asociacion Nacional Del Café","2017","June 5th, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,0.12,0,1,"Green",3,"June 5th, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1219.2,1219.2,1219.2
"874",81.67,"Arabica","cadexsa","Honduras","bethel","340","dry mill","13-63-174","cadexsa","1450","marcala","JOSE OMAR ACOSTA",275,"69 kg","Instituto Hondureño del Café","2016","May 2nd, 2016","CADEXSA","Catuai","Washed / Wet",7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,0.11,0,0,"Blue-Green",2,"May 2nd, 2017","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1450,1450,1450
"875",81.67,"Arabica","taylor winch (coffee) ltd.","Tanzania, United Republic Of","ngima","4783","dae ltd","033/0004/0191","volcafe/taylorwinch tanzania ltd","1800","mbinga","Ngima Amcos",320,"60 kg","Tanzanian Coffee Board","2016","April 27th, 2016","Taylor Winch (Coffee) Ltd.",NA,NA,7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,7.58,0,0,0,"Green",1,"April 27th, 2017","Tanzanian Coffee Board","047484d5700c44f033915e632e0c6013d985cd79","127e651fc8b7c35802268599656f2c76bf041b15","m",1800,1800,1800
"876",81.67,"Arabica","comercial internacional exportadora, s.a.","Nicaragua","santa matilde","345725 / K1620088","dry mill","017/001/534","comercial internacional exportadora, s.a.",NA,"jinotega","Rolando Lacayo Cardenal",275,"69 kg","Instituto Hondureño del Café",NA,"March 11th, 2016","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",NA,NA,7.58,7.5,7.25,7.25,7.5,7.25,10,10,10,7.33,0.1,0,0,"Green",1,"March 11th, 2017","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",NA,NA,NA
"877",81.67,"Arabica","racafe & cia s.c.a","Colombia",NA,"3-37-1367","bachue","3-37","racafe & cia s.c.a",NA,"la plata",NA,165,"70 kg","Almacafé","2016","January 21st, 2016","Racafe & Cia S.C.A",NA,NA,7.75,7.75,7.75,7.67,5.25,7.83,10,10,10,7.67,0,0,1,NA,1,"January 20th, 2017","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",NA,NA,NA
"878",81.67,"Arabica","ipanema coffees","Brazil","rio verde",NA,"ipanema comercial e exportadora sa","002/4177/0150","ipanema coffees","1","south of minas","Ipanema Agrícola SA",320,"2 kg","Brazil Specialty Coffee Association","2015/2016","October 8th, 2015","Ipanema Coffees","Yellow Bourbon","Natural / Dry",7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,0,0,0,"Green",0,"October 7th, 2016","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1,1,1
"879",81.67,"Arabica","dae ltd company","Tanzania, United Republic Of","multiple",NA,"dae ltd","C001","dae ltd company","1200-1800m","mbinga","DAE Ltd",20,"60 kg","Africa Fine Coffee Association","2014","January 2nd, 2015","DAE Ltd Company","Other","Washed / Wet",7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,0.12,0,0,"Green",0,"January 2nd, 2016","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1200,1800,1500
"880",81.67,"Arabica","tembo coffee company ltd","Tanzania, United Republic Of","ilomba 1",NA,"tembo coffee company ltd","C39","tembo coffee company ltd","1700","ilomba vilage, mbozi","Tembo Coffee Company Ltd",10,"60 kg","Africa Fine Coffee Association","2013","December 15th, 2014","Tembo Coffee Company Ltd","Other","Washed / Wet",7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,0.12,0,0,"Green",7,"December 15th, 2015","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1700,1700,1700
"881",81.67,"Arabica","ipanema coffees","Brazil","rio verde",NA,"ipanema coffees","002/4177/0161","ipanema coffees","1260","south of minas","Ipanema Agrícola SA",300,"2 kg","Specialty Coffee Association","2014/2015","October 16th, 2014","Ipanema Coffees","Bourbon","Washed / Wet",7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,0.1,0,0,"Green",2,"October 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1260,1260,1260
"882",81.67,"Arabica","chris finch","Indonesia",NA,NA,NA,"15/1595/0021","volcafe specialty coffee",NA,"bener meriah",NA,320,"4 kg","Specialty Coffee Association","2013","May 23rd, 2014","Chris Finch","Sumatra","Semi-washed / Semi-pulped",7.17,7.42,7.33,7.42,7.33,7.42,10,10,10,7.58,0.11,0,0,"Bluish-Green",0,"May 23rd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"883",81.67,"Arabica",NA,"Honduras","gran manzana y el aguacate",NA,"cigrah sps","13-111-192","cigrah","1400","comayagua","Tomás Sosa, Juan Damaso",275,"1 kg","Instituto Hondureño del Café","2014","May 16th, 2014",NA,"Caturra","Natural / Dry",7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,0.1,0,0,"Green",5,"May 16th, 2015","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1400,1400,1400
"884",81.67,"Arabica","ceca, s.a.","Costa Rica","gamboa",NA,"beneficio montañas del diamante","5-025-0135","ceca,s.a.","1850","tarrazu","Martin Gutierrez",275,"69 kg","Specialty Coffee Association of Costa Rica","2013","April 26th, 2014","CECA, S.A.","Caturra","Washed / Wet",7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,0.11,0,0,"Green",3,"April 26th, 2015","Specialty Coffee Association of Costa Rica","8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1","5eb2b7129d9714c43825e44dc3bca9423de209e9","m",1850,1850,1850
"885",81.67,"Arabica","dane loraas","Mexico",NA,NA,NA,"016-2022-0009","sustainable harvest",NA,"veracruz","Huatusco",320,"5 lbs","Specialty Coffee Association","2014","April 2nd, 2014","Dane Loraas",NA,"Washed / Wet",7.42,7.42,7.67,8,7.58,7.5,9.33,9.33,10,7.42,0,0,0,"Green",4,"April 2nd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"886",81.67,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","mu he zi coffee <U+6728><U+76D2><U+5B50><U+5496><U+5561><U+5712>",NA,"mu he zi coffee <U+6728><U+76D2><U+5B50><U+5496><U+5561><U+5712>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","150 m","changhua baguashan <U+5F70><U+5316><U+5E02><U+516B><U+5366><U+5C71>","Zhang ming fu <U+5F35><U+660E><U+798F>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Semi-washed / Semi-pulped",7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",150,150,150
"887",81.67,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","guo xin ka fei <U+570B><U+6615><U+5496><U+5561>",NA,"guo xin ka fei <U+570B><U+6615><U+5496><U+5561>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","750 m","nantou","Wu cai jin <U+5433><U+8521><U+9326>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Washed / Wet",7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",750,750,750
"888",81.67,"Arabica","fredy gordillo reyes","Mexico","union ramal santa cruz",NA,"union ramal santa cruz","2496","union ramal santa cruz spr de ri","1400","la concordia, chiapas","UNION RAMAL SANTA CRUZ",310,"1 kg","AMECAFE","2013","March 29th, 2013","FREDY GORDILLO REYES","Typica","Washed / Wet",7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,0.12,0,0,"Green",6,"March 29th, 2014","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1400,1400,1400
"889",81.67,"Arabica","juan luis alvarado romero","Guatemala","finca el morito",NA,"beneficio el morito","11/9768/01","finca el morito","5500-6000 psnm","jalapa","CAFE MOLINO MONTERROSO P,J. ROBERTO",275,"69 kg","Asociacion Nacional Del Café","2012","October 5th, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,0.11,0,0,"Green",4,"October 5th, 2013","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1676.4,1828.8,1752.6
"890",81.67,"Arabica","virginia gordillo gordillo","Mexico","finca cafetalera la suiza",NA,"municipio monte cristo de guerrero, chiapasmunicipio monte cristo de guerrero","0","productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v.","1650","tuxtla gutierrez","PRODUCTORA AGRICOLA Y GANADERA FINCA LA SUIZA",100,"1 kg","AMECAFE","2012","September 11th, 2012","VIRGINIA GORDILLO GORDILLO","Typica","Washed / Wet",7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,0.13,1,0,"Green",13,"September 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1650,1650,1650
"891",81.67,"Arabica","jose luis munoz guerrero","Mexico",NA,NA,"yajalon, chiapas","0",NA,"1400","yajalon","MAYA BINIK",15,"1 kg","AMECAFE","2012","August 30th, 2012","JOSE LUIS MUNOZ GUERRERO","Bourbon","Washed / Wet",7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,0.11,0,0,"Green",4,"August 30th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1400,1400,1400
